Approved symbol	Approved name	Synonyms
A1BG	alpha-1-B glycoprotein	
A1CF	APOBEC1 complementation factor	ACF, ASP, ACF64, ACF65, APOBEC1CF
A2M	alpha-2-macroglobulin	FWP007, S863-7, CPAMD5
A2ML1	alpha-2-macroglobulin like 1	FLJ25179, p170
A3GALT2	alpha 1,3-galactosyltransferase 2	IGBS3S, IGB3S
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	A14GALT, Gb3S, P(k)
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	alpha4GnT
AAAS	aladin WD repeat nucleoporin	
AACS	acetoacetyl-CoA synthetase	FLJ12389, SUR-5, ACSF1
AADAC	arylacetamide deacetylase	DAC, CES5A1
AADACL2	arylacetamide deacetylase like 2	MGC72001
AADACL3	arylacetamide deacetylase like 3	OTTHUMG00000001887
AADACL4	arylacetamide deacetylase like 4	OTTHUMG00000001889
AADAT	aminoadipate aminotransferase	KATII, KAT2, KYAT2
AAGAB	alpha and gamma adaptin binding protein	FLJ11506, p34
AAK1	AP2 associated kinase 1	KIAA1048, DKFZp686K16132
AAMDC	adipogenesis associated Mth938 domain containing	PTD015, FLJ21035, CK067
AAMP	angio associated migratory cell protein	
AANAT	aralkylamine N-acetyltransferase	SNAT
AAR2	AAR2 splicing factor	bA234K24.2
AARD	alanine and arginine rich domain containing protein	LOC441376
AARS1	alanyl-tRNA synthetase 1	CMT2N, AlaRS
AARS2	alanyl-tRNA synthetase 2, mitochondrial	KIAA1270, bA444E17.1
AARSD1	alanyl-tRNA synthetase domain containing 1	MGC2744
AASDH	aminoadipate-semialdehyde dehydrogenase	NRPS998, LYS2, ACSF4
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	LYS5, CGI-80, AASD-PPT, ACPS
AASS	aminoadipate-semialdehyde synthase	LORSDH, LKRSDH
AATF	apoptosis antagonizing transcription factor	DED, CHE-1, CHE1, BFR2
AATK	apoptosis associated tyrosine kinase	AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
ABAT	4-aminobutyrate aminotransferase	GABAT, GABA-T
ABCA1	ATP binding cassette subfamily A member 1	TGD
ABCA2	ATP binding cassette subfamily A member 2	
ABCA3	ATP binding cassette subfamily A member 3	ABC-C, EST111653, LBM180
ABCA4	ATP binding cassette subfamily A member 4	FFM, ARMD2, CORD3
ABCA5	ATP binding cassette subfamily A member 5	EST90625
ABCA6	ATP binding cassette subfamily A member 6	EST155051
ABCA7	ATP binding cassette subfamily A member 7	ABCX
ABCA8	ATP binding cassette subfamily A member 8	KIAA0822
ABCA9	ATP binding cassette subfamily A member 9	EST640918
ABCA10	ATP binding cassette subfamily A member 10	EST698739
ABCA12	ATP binding cassette subfamily A member 12	DKFZP434G232, LI2
ABCA13	ATP binding cassette subfamily A member 13	FLJ33876, FLJ33951
ABCB1	ATP binding cassette subfamily B member 1	P-gp, CD243, GP170, ABC20
ABCB4	ATP binding cassette subfamily B member 4	MDR2, PFIC-3, GBD1
ABCB5	ATP binding cassette subfamily B member 5	EST422562, ABCB5beta, ABCB5alpha
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	EST45597, umat, MTABC3
ABCB7	ATP binding cassette subfamily B member 7	EST140535, Atm1p, ASAT
ABCB8	ATP binding cassette subfamily B member 8	EST328128, M-ABC1, MABC1
ABCB9	ATP binding cassette subfamily B member 9	EST122234
ABCB10	ATP binding cassette subfamily B member 10	EST20237, M-ABC2, MTABC2
ABCB11	ATP binding cassette subfamily B member 11	ABC16, SPGP, PFIC-2, PGY4
ABCC1	ATP binding cassette subfamily C member 1	GS-X
ABCC2	ATP binding cassette subfamily C member 2	DJS, MRP2, cMRP
ABCC3	ATP binding cassette subfamily C member 3	MRP3, cMOAT2, EST90757, MLP2, MOAT-D
ABCC4	ATP binding cassette subfamily C member 4	MRP4, EST170205, MOAT-B, MOATB
